Epoch [1/300] - Train Loss: 0.5984, Validation Loss: 0.7412, Time: 293.5420s
Epoch [2/300] - Train Loss: 0.5975, Validation Loss: 0.7402, Time: 275.6255s
Epoch [1/300] - Train Loss: 0.5983, Validation Loss: 0.7254, Time: 291.6644s
Epoch [2/300] - Train Loss: nan, Validation Loss: nan, Time: 273.2027s
Epoch [3/300] - Train Loss: nan, Validation Loss: nan, Time: 271.4913s
Epoch [4/300] - Train Loss: nan, Validation Loss: nan, Time: 271.9217s
Epoch [5/300] - Train Loss: nan, Validation Loss: nan, Time: 272.5210s
Epoch [6/300] - Train Loss: nan, Validation Loss: nan, Time: 271.4634s
Epoch [7/300] - Train Loss: nan, Validation Loss: nan, Time: 271.9164s
Epoch [8/300] - Train Loss: nan, Validation Loss: nan, Time: 272.0855s
Epoch [9/300] - Train Loss: nan, Validation Loss: nan, Time: 273.0705s
Epoch [10/300] - Train Loss: nan, Validation Loss: nan, Time: 271.3725s
Epoch [11/300] - Train Loss: nan, Validation Loss: nan, Time: 273.1950s
Epoch [12/300] - Train Loss: nan, Validation Loss: nan, Time: 271.9298s
Epoch [13/300] - Train Loss: nan, Validation Loss: nan, Time: 271.9806s
Epoch [14/300] - Train Loss: nan, Validation Loss: nan, Time: 271.9029s
Epoch [15/300] - Train Loss: nan, Validation Loss: nan, Time: 272.3580s
Epoch [16/300] - Train Loss: nan, Validation Loss: nan, Time: 272.9704s
Epoch [17/300] - Train Loss: nan, Validation Loss: nan, Time: 270.6503s
Epoch [18/300] - Train Loss: nan, Validation Loss: nan, Time: 269.8062s
Epoch [19/300] - Train Loss: nan, Validation Loss: nan, Time: 273.2700s
Epoch [20/300] - Train Loss: nan, Validation Loss: nan, Time: 269.7319s
Epoch [21/300] - Train Loss: nan, Validation Loss: nan, Time: 271.7642s
Epoch [22/300] - Train Loss: nan, Validation Loss: nan, Time: 271.4213s
Epoch [23/300] - Train Loss: nan, Validation Loss: nan, Time: 271.2507s
Epoch [24/300] - Train Loss: nan, Validation Loss: nan, Time: 273.0843s
Epoch [25/300] - Train Loss: nan, Validation Loss: nan, Time: 270.8708s
Epoch [26/300] - Train Loss: nan, Validation Loss: nan, Time: 271.4568s
Epoch [27/300] - Train Loss: nan, Validation Loss: nan, Time: 274.8108s
Epoch [28/300] - Train Loss: nan, Validation Loss: nan, Time: 273.4349s
Epoch [29/300] - Train Loss: nan, Validation Loss: nan, Time: 271.1997s
Epoch [30/300] - Train Loss: nan, Validation Loss: nan, Time: 268.8490s
Epoch [31/300] - Train Loss: nan, Validation Loss: nan, Time: 270.1080s
Epoch [32/300] - Train Loss: nan, Validation Loss: nan, Time: 271.5260s
Epoch [33/300] - Train Loss: nan, Validation Loss: nan, Time: 270.4858s
Epoch [34/300] - Train Loss: nan, Validation Loss: nan, Time: 271.6931s
