Epoch [1/300] - Train Loss: 0.7059, Validation Loss: 0.6953, Time: 365.4347s
Epoch [2/300] - Train Loss: 0.6943, Validation Loss: 0.6938, Time: 352.2313s
Epoch [3/300] - Train Loss: 0.6936, Validation Loss: 0.6935, Time: 351.9703s
Epoch [4/300] - Train Loss: 0.6934, Validation Loss: 0.6933, Time: 350.6125s
Epoch [5/300] - Train Loss: 0.6933, Validation Loss: 0.6933, Time: 350.8164s
Epoch [6/300] - Train Loss: 0.6933, Validation Loss: 0.6932, Time: 350.9091s
Epoch [7/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.5975s
Epoch [8/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.8399s
Epoch [9/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.9180s
Epoch [10/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.3327s
Epoch [11/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.4578s
Epoch [12/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 350.8456s
Epoch [13/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.1843s
Epoch [14/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 352.0838s
Epoch [15/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.4845s
Epoch [16/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 350.7203s
Epoch [17/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 352.0963s
Epoch [18/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 350.3376s
Epoch [19/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 350.6591s
Epoch [20/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 350.9143s
Epoch [21/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 352.3875s
Epoch [22/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.9171s
Epoch [23/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 350.9375s
Epoch [24/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.7227s
Epoch [25/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.0043s
Epoch [26/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.4421s
Epoch [27/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 352.0528s
Epoch [28/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.6273s
Epoch [29/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 349.8783s
Epoch [30/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.5318s
Epoch [31/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 350.4870s
Epoch [32/300] - Train Loss: 0.6932, Validation Loss: 0.6932, Time: 351.3534s
